URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/composition-status,5.0.0,active,,CompositionStatus,Composition Status,"The workflow/clinical status of the composition.","ValueSet/composition-status"
http://hl7.org/fhir/document-reference-status,5.0.0,draft,,DocumentReferenceStatus,DocumentReferenceStatus,"The status of the document reference.","ValueSet/DocumentReferenceStats"
http://hl7.org/fhir/document-relationship-type,5.0.0,active,,DocumentRelationshipType,Document Relationship Type,"The type of relationship between documents.","ValueSet/document-relationship-type"
http://hl7.org/fhir/identifier-use,5.0.0,active,,IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","ValueSet/identifier-use"
http://hl7.org/fhir/narrative-status,5.0.0,draft,,NarrativeStatus,NarrativeStatus,"The status of a resource narrative.","ValueSet/narrative-status"
http://hl7.org/fhir/resource-types,4.0.1,active,,ResourceType,ResourceType,"One of the resource types defined as part of this version of FHIR.","ValueSet/resource-types"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/c80-doc-typecodes"
http://medcomfhir.dk/ig/document/CodeSystem/MedCom-ihe-classcode-CS-TEMP,2.0.1,active,,MedComIHE_ClassCode_TEMP,DK IHE ClassCode_TEMP,"_TEMP Danish Integrating the Healthcare Enterprise (IHE) metadata class codes","ValueSet/MedCom-ihe-core-classcode-VS-TEMP"
http://medcomfhir.dk/ig/document/CodeSystem/MedCom-ihe-homeCommunityId-CS-TEMP,2.0.1,active,,MedComIHE_HomeCommunityId_TEMP,_TEMP IHE XDS Affinity Domain,"_TEMPIHE XDS Affinity Domains who has agreed to share healthcare related documents in Denmark","ValueSet/MedCom-ihe-core-homeCommunityId-VS-TEMP"
http://medcomfhir.dk/ig/xdsdocuments/CodeSystem/MedComHCOFormatCodeCS,0.1.0-homecareobservation-draft-2,active,,MedComHCOFormatCodeCS,MedComHCOFormatCodeCS,"Codesystem containing the format codes for HomeCareObservation documents (DA: Kommunale Prøvesvar).","ValueSet/MedComHCOFormatCodeVS"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/MedCom-ihe-core-HealthcareFacilityTypeCode-VS-TEMP,ValueSet/MedCom-ihe-core-PracticeSettingCode-VS-TEMP"
http://terminology.hl7.org/CodeSystem/common-tags,1.0.1,active,"2.16.840.1.113883.4.642.1.1067",CommonTags,Common Tags,"Common Tag Codes defined by FHIR project","ValueSet/common-tags"
http://terminology.hl7.org/CodeSystem/v2-0203,5.0.0,active,"2.16.840.1.113883.18.108",IdentifierType,identifierType,"HL7-defined code system of concepts specifying type of identifier. Used in HL7 Version 2.x messaging data types CX, PLN, PPN, XCN and XON.","ValueSet/identifier-type"
http://terminology.hl7.org/CodeSystem/v3-ActCode,10.0.0,active,"2.16.840.1.113883.5.4",ActCode,ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.    *Constraints:* The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems. The coding system will depend on the class of Act, such as LOINC for observations, etc.    Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure.    Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","ValueSet/v3-ActCode"
urn:ietf:bcp:47,2.0.1,active,,Ietf3066,Tags for the Identification of Languages,"Older value from OID registry.  Superceded; see recommendations in BCP-47.","ValueSet/languages,ValueSet/MedCom-ihe-core-languagecode-VS-TEMP"
urn:oid:1.2.208.184.100.1,0.1.0-homecareobservation-draft-2,active,"1.2.208.184.100.1",MedComHCOTypeCodeCS,MedComHCOTypeCodeCS,"Codesystem containing the type codes for HomeCareObservation documents (DA: Kommunale Prøvesvar).","ValueSet/MedComHCOTypeCodeVS"
