Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-medcom.fhir.dk.xdsdocuments.json	7219	-	0	0	0	0	0	0	3	42	0	0	0	0	0	0	0	0	0	0	127	83	0	0	0	3	0	0
fsh-generated/resources/ActorDefinition-ProducerActor.json	251	15	0	0	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	67	108	0	0	0	1	0	0
fsh-generated/resources/DocumentReference-16002002-ac41-45de-ad6b-eb02b098e859.json	5255	15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	62	52	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-4daf727f-f116-4e49-ad31-4018f0cc638a.json	5426	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	67	33	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-homecare-observation-documentreference.json	1510	15	0	299	0	0	0	0	0	52	0	0	0	0	0	0	0	3	0	0	657	2622	0	0	0	20	1	2
fsh-generated/resources/StructureDefinition-medcom-conditionlist-documentreference.json	1407	14	0	75	0	0	0	0	0	74	0	0	1	0	0	0	0	3	0	0	799	1283	0	0	0	21	0	1
fsh-generated/resources/StructureDefinition-medcom-contained-documentreference.json	40506	16	0	6	1	0	0	0	1	131	0	0	0	0	0	0	0	3	0	0	971	1145	0	0	0	31	0	2
fsh-generated/resources/StructureDefinition-medcom-document-homecommunityid-extension.json	2305	14	0	35	0	0	1	0	0	27	0	0	0	0	0	0	0	0	0	0	101	137	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-medcom-document-organization.json	715	13	0	108	0	0	0	0	0	32	0	0	0	0	0	0	0	2	0	0	235	388	0	0	0	7	0	0
fsh-generated/resources/StructureDefinition-medcom-document-patient.json	2622	14	0	120	0	0	0	0	0	50	0	0	0	0	0	0	0	2	0	0	384	465	0	0	0	17	1	1
fsh-generated/resources/StructureDefinition-medcom-document-practitioner.json	1598	14	0	71	1	0	0	0	0	27	0	0	1	0	0	0	0	1	0	0	213	286	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-medcom-document-practitionerrole.json	2132	13	0	55	0	0	0	0	0	27	0	0	0	0	0	0	0	1	0	0	227	280	0	0	0	7	0	0
/fsh-generated/includes/fsh-link-references.md	989	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	1555	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/dependencies.xml	308	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0
/input/pagecontent/downloads.md	542	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/profiles.xml	388	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0
/input/pagecontent/extensions.xml	250	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	6747	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0	0	0	0	0
